数据范围,剧本ID,剧本名称,剧目类别,核心关系,核心主题,核心主题序号,次要主题集合,主题组合ID,主题组合,主题组合显示,主题数量,主题序号集合,x起点序号,x终点序号,网络密度,度中心化,内容量权重,主题证据词集合,主题_忠义家国,主题_政治权力,主题_婚恋姻缘,主题_家庭亲情,主题_公案冤狱,主题_除暴侠义,主题_战争武略,主题_恩怨报偿,主题_善恶转化,主题_礼教品格,主题_宗教祥瑞,主题_文人世情
全量,01001013,天水关,历史戏,同盟关系,战争武略,7,政治权力,T0207,政治权力|战争武略,政治权力 + 战争武略,2,2|7,2,7,0.666667,1.0,30.98,战争武略:出兵、兵、城、将军、关,0,1,0,0,0,0,1,0,0,0,0,0
全量,01001014,七星灯,神怪戏,权力关系,战争武略,7,政治权力,T0207,政治权力|战争武略,政治权力 + 战争武略,2,2|7,2,7,1.0,0.0,29.07,政治权力:丞相、关系先验:权力关系、类别先验:历史戏、王、君臣|战争武略:军、将、兵、将军、类别先验:历史戏,0,1,0,0,0,0,1,0,0,0,0,0
全量,01001015,战北原,历史戏,冲突关系,战争武略,7,政治权力|文人世情,T020712,政治权力|战争武略|文人世情,政治权力 + 战争武略 + 文人世情,3,2|7|12,2,12,1.0,0,24.93,政治权力:丞相、关系先验:权力关系、类别先验:历史戏、帝、王|战争武略:战、将军、兵、计、军|文人世情:文、书、才,0,1,0,0,0,0,1,0,0,0,0,1
全量,01001016,牧羊卷,家庭戏,亲属关系,忠义家国,1,婚恋姻缘|家庭亲情|战争武略,T01030407,忠义家国|婚恋姻缘|家庭亲情|战争武略,忠义家国 + 婚恋姻缘 + 家庭亲情 + 战争武略,4,1|3|4|7,1,7,1.0,0.0,31.3,忠义家国:忠义、忠、义、关系先验:权力关系|婚恋姻缘:结发、妻、夫妻、类别先验:家庭戏、配|家庭亲情:母、母亲、类别先验:家庭戏、关系先验:亲属关系、儿,1,0,1,1,0,0,1,0,0,0,0,0
全量,01001017,清官册,公案戏,审判与恩怨关系,公案冤狱,5,政治权力,T0205,政治权力|公案冤狱,政治权力 + 公案冤狱,2,2|5,2,5,0.6,0.666667,30.77,政治权力:圣旨、太师、官、王、金殿|公案冤狱:清官、潘洪、审问、审、状,0,1,0,0,1,0,0,0,0,0,0,0
全量,01001018,双狮图,家庭戏,审判与恩怨关系,恩怨报偿,8,公案冤狱|战争武略,T050708,公案冤狱|战争武略|恩怨报偿,公案冤狱 + 战争武略 + 恩怨报偿,3,5|7|8,5,8,1.0,0.0,23.82,公案冤狱:法场、冤、关系先验:审判与恩怨关系、关系先验:权力关系、状|战争武略:将、兵、计、类别先验:历史戏、将军|恩怨报偿:报仇、仇、报、冤仇、祭,0,0,0,0,1,0,1,1,0,0,0,0
全量,01001019,柴桑口,历史戏,冲突关系,战争武略,7,恩怨报偿|善恶转化,T070809,战争武略|恩怨报偿|善恶转化,战争武略 + 恩怨报偿 + 善恶转化,3,7|8|9,7,9,1.0,0.0,23.71,战争武略:将、兵、计、类别先验:历史戏、关系先验:冲突关系|恩怨报偿:祭、仇、报仇、关系先验:冲突关系、报|善恶转化:悟、归、关系先验:冲突关系、投、降,0,0,0,0,0,0,1,1,1,0,0,0
全量,01001020,宋江闹院,江湖戏,婚恋关系,文人世情,12,婚恋姻缘,T0312,婚恋姻缘|文人世情,婚恋姻缘 + 文人世情,2,3|12,3,12,1.0,0.0,27.96,婚恋姻缘:赠金、夫妻、妻、郎|文人世情:风流、文、书、才、画,0,0,1,0,0,0,0,0,0,0,0,1
全量,01002001,李陵碑,历史戏,审判与恩怨关系,公案冤狱,5,家庭亲情,T0405,家庭亲情|公案冤狱,家庭亲情 + 公案冤狱,2,4|5,4,5,1.0,0.0,21.59,家庭亲情:父子、子、类别先验:家庭戏、父、关系先验:亲属关系|公案冤狱:潘洪、冤,0,0,0,1,1,0,0,0,0,0,0,0
全量,01002003,祭长江,家庭戏,婚恋关系,婚恋姻缘,3,恩怨报偿,T0308,婚恋姻缘|恩怨报偿,婚恋姻缘 + 恩怨报偿,2,3|8,3,8,0,0,15.68,婚恋姻缘:夫妇、夫人、关系先验:婚恋关系、姻缘、夫妻|恩怨报偿:祭江、祭、报仇、恩、报,0,0,1,0,0,0,0,1,0,0,0,0
全量,01002004,探寒窑,家庭戏,亲属关系,家庭亲情,4,婚恋姻缘,T0304,婚恋姻缘|家庭亲情,婚恋姻缘 + 家庭亲情,2,3|4,3,4,1.0,0,23.73,婚恋姻缘:夫人、配、夫妻、关系先验:婚恋关系、类别先验:家庭戏|家庭亲情:女、母、母亲、娘亲、亲,0,0,1,1,0,0,0,0,0,0,0,0
全量,01002005,落花园,家庭戏,亲属关系,文人世情,12,家庭亲情,T0412,家庭亲情|文人世情,家庭亲情 + 文人世情,2,4|12,4,12,1.0,0.0,21.44,家庭亲情:女、母、父、母亲、类别先验:家庭戏|文人世情:花园、园、花、关系先验:婚恋关系、楼,0,0,0,1,0,0,0,0,0,0,0,1
全量,01002006,探阴山,神怪戏,审判与恩怨关系,公案冤狱,5,家庭亲情,T0405,家庭亲情|公案冤狱,家庭亲情 + 公案冤狱,2,4|5,4,5,1.0,0.0,21.95,公案冤狱:包拯、铡、审问、冤、判,0,0,0,1,1,0,0,0,0,0,0,0
全量,01002007,打金枝,家庭戏,亲属关系,家庭亲情,4,婚恋姻缘,T0304,婚恋姻缘|家庭亲情,婚恋姻缘 + 家庭亲情,2,3|4,3,4,0.9,0.166667,23.96,婚恋姻缘:夫妇、妻、夫妻、类别先验:家庭戏、配|家庭亲情:父子、儿女、子、女、父,0,0,1,1,0,0,0,0,0,0,0,0
全量,01002008,八义图,历史戏,冲突关系,家庭亲情,4,婚恋姻缘|除暴侠义|战争武略,T03040607,婚恋姻缘|家庭亲情|除暴侠义|战争武略,婚恋姻缘 + 家庭亲情 + 除暴侠义 + 战争武略,4,3|4|6|7,3,7,0.833333,0.333333,27.36,婚恋姻缘:妻、夫妻、配、关系先验:婚恋关系、类别先验:家庭戏|家庭亲情:儿、子、类别先验:家庭戏、关系先验:亲属关系、父子|除暴侠义:义侠、侠、关系先验:同盟关系、虎|战争武略:将、计、关系先验:同盟关系、关、城,0,0,1,1,0,1,1,0,0,0,0,0
全量,01002009,鱼肠剑,江湖戏,亲属关系,家庭亲情,4,战争武略,T0407,家庭亲情|战争武略,家庭亲情 + 战争武略,2,4|7,4,7,0.761905,0.333333,28.41,家庭亲情:兄弟、子、女、父母、关系先验:亲属关系|战争武略:将军、兵、关、类别先验:历史戏、军,0,0,0,1,0,0,1,0,0,0,0,0
全量,01002010,钓金龟,家庭戏,亲属关系,家庭亲情,4,礼教品格,T0410,家庭亲情|礼教品格,家庭亲情 + 礼教品格,2,4|10,4,10,1.0,0,23.42,家庭亲情:母子、孝母、母、子、母亲|礼教品格:孝、节、骂、类别先验:家庭戏、孝顺,0,0,0,1,0,0,0,0,0,1,0,0
全量,01002011,梅龙镇,家庭戏,权力关系,政治权力,2,忠义家国|战争武略,T010207,忠义家国|政治权力|战争武略,忠义家国 + 政治权力 + 战争武略,3,1|2|7,1,7,1.0,0,27.16,忠义家国:朝纲、类别先验:历史戏、关系先验:权力关系|政治权力:帝、宫、天子、朝、官|战争武略:军、类别先验:历史戏、将、关系先验:权力关系、关,1,1,0,0,0,0,1,0,0,0,0,0
全量,01002012,白门楼,历史戏,冲突关系,战争武略,7,政治权力,T0207,政治权力|战争武略,政治权力 + 战争武略,2,2|7,2,7,1.0,0.0,32.81,政治权力:丞相、宫、君臣、关系先验:权力关系、类别先验:历史戏|战争武略:出兵、军、兵、将、将军,0,1,0,0,0,0,1,0,0,0,0,0
全量,01002013,华容道,历史戏,冲突关系,战争武略,7,恩怨报偿,T0708,战争武略|恩怨报偿,战争武略 + 恩怨报偿,2,7|8,7,8,1.0,0,21.01,战争武略:关、兵、将、华容道、军|恩怨报偿:恩、报、关系先验:冲突关系、怨、恨,0,0,0,0,0,0,1,1,0,0,0,0
全量,01002014,宇宙锋,家庭戏,权力关系,政治权力,2,家庭亲情|礼教品格,T020410,政治权力|家庭亲情|礼教品格,政治权力 + 家庭亲情 + 礼教品格,3,2|4|10,2,10,1.0,0.0,24.16,政治权力:金殿、王、关系先验:权力关系、太师、类别先验:历史戏|家庭亲情:女、关系先验:亲属关系、儿、父母、父|礼教品格:骂、教、节、关系先验:亲属关系、训,0,1,0,1,0,0,0,0,0,1,0,0
全量,01002015,取帅印,历史戏,权力关系,战争武略,7,政治权力,T0207,政治权力|战争武略,政治权力 + 战争武略,2,2|7,2,7,1.0,0.0,29.15,政治权力:臣、金殿、关系先验:权力关系、天子、帝王|战争武略:将军、兵、将、军、军师,0,1,0,0,0,0,1,0,0,0,0,0
全量,01002016,打渔杀家,江湖戏,冲突关系,善恶转化,9,家庭亲情|恩怨报偿,T040809,家庭亲情|恩怨报偿|善恶转化,家庭亲情 + 恩怨报偿 + 善恶转化,3,4|8|9,4,9,0.8,0.333333,35.58,家庭亲情:女、父、子、类别先验:家庭戏、关系先验:亲属关系|善恶转化:招安、投、改过、改、恶|礼教品格:教、节、类别先验:家庭戏、骂、关系先验:亲属关系,0,0,0,1,0,0,0,1,1,0,0,0
全量,01002017,黑风帕,神怪戏,亲属关系,家庭亲情,4,战争武略,T0407,家庭亲情|战争武略,家庭亲情 + 战争武略,2,4|7,4,7,0.733333,0.4,29.66,家庭亲情:太君、父子、认子、子、父|战争武略:关、战、将、兵、城,0,0,0,1,0,0,1,0,0,0,0,0
全量,01002018,目莲救母,神怪戏,亲属关系,宗教祥瑞,11,善恶转化,T0911,善恶转化|宗教祥瑞,善恶转化 + 宗教祥瑞,2,9|11,9,11,1.0,0.0,21.49,宗教祥瑞:目莲、佛、鬼、梦、类别先验:神怪戏,0,0,0,0,0,0,0,0,1,0,1,0
全量,01002019,红鸾禧,家庭戏,婚恋关系,婚恋姻缘,3,家庭亲情,T0304,婚恋姻缘|家庭亲情,婚恋姻缘 + 家庭亲情,2,3|4,3,4,1.0,0.0,27.21,婚恋姻缘:姻缘、情郎、夫妻、郎、关系先验:婚恋关系|家庭亲情:子、女、家门、类别先验:家庭戏、关系先验:亲属关系,0,0,1,1,0,0,0,0,0,0,0,0
全量,01002020,白状元祭塔,神怪戏,审判与恩怨关系,文人世情,12,家庭亲情|恩怨报偿,T040812,家庭亲情|恩怨报偿|文人世情,家庭亲情 + 恩怨报偿 + 文人世情,3,4|8|12,4,12,1.0,0,19.2,家庭亲情:祭塔、子、母子、母亲、类别先验:家庭戏|恩怨报偿:祭塔、恨、祭、类别先验:家庭戏、关系先验:亲属关系|文人世情:状元、才,0,0,0,1,0,0,0,1,0,0,0,1
全量,01003001,琼林宴,公案戏,婚恋关系,婚恋姻缘,3,文人世情,T0312,婚恋姻缘|文人世情,婚恋姻缘 + 文人世情,2,3|12,3,12,0.533333,0.7,30.41,婚恋姻缘:鸳鸯、妻、结发、夫妻、类别先验:家庭戏|文人世情:状元、书、文、书生、士,0,0,1,0,0,0,0,0,0,0,0,1
全量,01003002,蒋干中计,历史戏,冲突关系,战争武略,7,除暴侠义,T0607,除暴侠义|战争武略,除暴侠义 + 战争武略,2,6|7,6,7,0.730769,0.318182,38.83,除暴侠义:英雄、盗、关系先验:同盟关系、关系先验:冲突关系、虎|战争武略:军、将军、计、战、用计,0,0,0,0,0,1,1,0,0,0,0,0
全量,01003003,桑园会,家庭戏,亲属关系,家庭亲情,4,婚恋姻缘|礼教品格,T030410,婚恋姻缘|家庭亲情|礼教品格,婚恋姻缘 + 家庭亲情 + 礼教品格,3,3|4|10,3,10,1.0,0.0,26.06,婚恋姻缘:妻、夫人、夫妻、郎、鸳鸯|家庭亲情:母、子、女、母亲、类别先验:家庭戏|善恶转化:归、投、恶、降|礼教品格:贞节、节、守节、类别先验:家庭戏、孝,0,0,1,1,0,0,0,0,0,1,0,0
全量,01003005,拾黄金,家庭戏,亲属关系,礼教品格,10,家庭亲情|战争武略,T040710,家庭亲情|战争武略|礼教品格,家庭亲情 + 战争武略 + 礼教品格,3,4|7|10,4,10,0,0,16.22,家庭亲情:子、关系先验:亲属关系、教子、关系先验:婚恋关系、儿|战争武略:类别先验:历史戏、关、将军、关系先验:权力关系、将|礼教品格:节、骂、名节、贞烈、教子,0,0,0,1,0,0,1,0,0,1,0,0
全量,01003006,辕门斩子,家庭戏,亲属关系,家庭亲情,4,婚恋姻缘,T0304,婚恋姻缘|家庭亲情,婚恋姻缘 + 家庭亲情,2,3|4,3,4,0.821429,0.238095,29.98,婚恋姻缘:成亲、小姐、夫妻、类别先验:家庭戏、钗|家庭亲情:太君、子、亲、儿、娘亲,0,0,1,1,0,0,0,0,0,0,0,0
全量,01003008,断太后,公案戏,审判与恩怨关系,公案冤狱,5,政治权力,T0205,政治权力|公案冤狱,政治权力 + 公案冤狱,2,2|5,2,5,1.0,0.0,24.84,公案冤狱:包拯、冤、断、铡、关系先验:权力关系,0,1,0,0,1,0,0,0,0,0,0,0
全量,01003009,打龙袍,家庭戏,审判与恩怨关系,公案冤狱,5,家庭亲情,T0405,家庭亲情|公案冤狱,家庭亲情 + 公案冤狱,2,4|5,4,5,0.866667,0.2,29.15,家庭亲情:母子、母、子、父母、关系先验:亲属关系|公案冤狱:包拯、关系先验:权力关系、冤,0,0,0,1,1,0,0,0,0,0,0,0
全量,01003010,战蒲关,历史戏,冲突关系,战争武略,7,忠义家国|礼教品格,T010710,忠义家国|战争武略|礼教品格,忠义家国 + 战争武略 + 礼教品格,3,1|7|10,1,10,1.0,0.0,25.39,战争武略:战、军、将、关、兵|礼教品格:贞、节、关系先验:亲属关系、关系先验:婚恋关系、孝,1,0,0,0,0,0,1,0,0,1,0,0
全量,01003011,斩黄袍,历史戏,权力关系,政治权力,2,战争武略|恩怨报偿,T020708,政治权力|战争武略|恩怨报偿,政治权力 + 战争武略 + 恩怨报偿,3,2|7|8,2,8,0.666667,0.466667,39.72,政治权力:宫、登基、金殿、皇帝、帝|公案冤狱:法场、状、冤、案、监牢|战争武略:退兵、将、军师、兵、类别先验:历史戏|恩怨报偿:恩、报仇、冤仇、报、仇,0,1,0,0,0,0,1,1,0,0,0,0
全量,01003012,彩楼配,家庭戏,亲属关系,家庭亲情,4,婚恋姻缘|文人世情,T030412,婚恋姻缘|家庭亲情|文人世情,婚恋姻缘 + 家庭亲情 + 文人世情,3,3|4|12,3,12,0.761905,0.333333,27.07,婚恋姻缘:配、郎、小姐、妻、姻缘|家庭亲情:父母、子、父、母、女|文人世情:花园、楼、园、关系先验:婚恋关系、诗,0,0,1,1,0,0,0,0,0,0,0,1
全量,01003013,滑油山,神怪戏,亲属关系,宗教祥瑞,11,家庭亲情,T0411,家庭亲情|宗教祥瑞,家庭亲情 + 宗教祥瑞,2,4|11,4,11,0,0,18.75,家庭亲情:母子、母、子、关系先验:亲属关系、女|宗教祥瑞:目莲、鬼、类别先验:神怪戏、神佛、报应,0,0,0,1,0,0,0,0,0,0,1,0
全量,01003014,富春楼,家庭戏,亲属关系,家庭亲情,4,礼教品格,T0410,家庭亲情|礼教品格,家庭亲情 + 礼教品格,2,4|10,4,10,1.0,0,20.93,家庭亲情:父母、兄弟、女、母、父,0,0,0,1,0,0,0,0,0,1,0,0
全量,01003015,阴阳河,神怪戏,婚恋关系,婚恋姻缘,3,家庭亲情|宗教祥瑞,T030411,婚恋姻缘|家庭亲情|宗教祥瑞,婚恋姻缘 + 家庭亲情 + 宗教祥瑞,3,3|4|11,3,11,1.0,0.0,24.71,婚恋姻缘:夫妻、妻、关系先验:婚恋关系、类别先验:家庭戏、配|宗教祥瑞:鬼、庙,0,0,1,1,0,0,0,0,0,0,1,0
全量,01003016,打花鼓,家庭戏,婚恋关系,婚恋姻缘,3,家庭亲情|文人世情,T030412,婚恋姻缘|家庭亲情|文人世情,婚恋姻缘 + 家庭亲情 + 文人世情,3,3|4|12,3,12,1.0,0.0,27.52,婚恋姻缘:夫妇、郎、红娘、夫妻、关系先验:婚恋关系|家庭亲情:子、类别先验:家庭戏、女、关系先验:亲属关系、儿|文人世情:花园、花、园、文、关系先验:婚恋关系,0,0,1,1,0,0,0,0,0,0,0,1
全量,01003017,独木关,历史戏,冲突关系,战争武略,7,家庭亲情,T0407,家庭亲情|战争武略,家庭亲情 + 战争武略,2,4|7,4,7,0.7,0.5,26.19,战争武略:将、关、军、战、兵|文人世情:士,0,0,0,1,0,0,1,0,0,0,0,0
全量,01003018,丑表功,家庭戏,亲属关系,家庭亲情,4,礼教品格|文人世情,T041012,家庭亲情|礼教品格|文人世情,家庭亲情 + 礼教品格 + 文人世情,3,4|10|12,4,12,1.0,0.0,23.51,家庭亲情:儿、子、类别先验:家庭戏、关系先验:亲属关系|礼教品格:节、教、类别先验:家庭戏、关系先验:亲属关系、礼|文人世情:文、书、才,0,0,0,1,0,0,0,0,0,1,0,1
全量,01004001,逍遥津,历史戏,权力关系,政治权力,2,战争武略,T0207,政治权力|战争武略,政治权力 + 战争武略,2,2|7,2,7,0.65,0.32381,41.33,政治权力:丞相、帝、君臣、宫、登基|战争武略:将军、兵、将、类别先验:历史戏、军,0,1,0,0,0,0,1,0,0,0,0,0
全量,01004004,盗宗卷,历史戏,权力关系,政治权力,2,家庭亲情,T0204,政治权力|家庭亲情,政治权力 + 家庭亲情,2,2|4,2,4,0.666667,0.466667,32.71,政治权力:金殿、王、帝、丞相、宫|家庭亲情:子、父子、儿、母亲、父,0,1,0,1,0,0,0,0,0,0,0,0
全量,01004006,辕门射戟,历史戏,冲突关系,战争武略,7,恩怨报偿,T0708,战争武略|恩怨报偿,战争武略 + 恩怨报偿,2,7|8,7,8,1.0,0.0,30.99,战争武略:关、将、军、将军、战|文人世情:书、画、园、才、楼,0,0,0,0,0,0,1,1,0,0,0,0
全量,01004007,取荥阳,历史戏,权力关系,战争武略,7,政治权力,T0207,政治权力|战争武略,政治权力 + 战争武略,2,2|7,2,7,0.9,0.166667,30.9,政治权力:王、帝、臣、君臣、关系先验:权力关系|战争武略:将军、关、兵、将、城,0,1,0,0,0,0,1,0,0,0,0,0
全量,01004008,大保国,历史戏,权力关系,政治权力,2,忠义家国,T0102,忠义家国|政治权力,忠义家国 + 政治权力,2,1|2,1,2,1.0,0.0,27.48,忠义家国:保国、忠、国、保、社稷|政治权力:大保国、太师、臣、金殿、朝,1,1,0,0,0,0,0,0,0,0,0,0
全量,01004009,忠孝全,历史戏,亲属关系,战争武略,7,政治权力|家庭亲情|礼教品格,T02040710,政治权力|家庭亲情|战争武略|礼教品格,政治权力 + 家庭亲情 + 战争武略 + 礼教品格,4,2|4|7|10,2,10,1.0,0.0,31.49,政治权力:王、官、太师、关系先验:权力关系、帝王|家庭亲情:父子、父、子、关系先验:亲属关系、儿|战争武略:兵马、兵、军、将、类别先验:历史戏|礼教品格:孝、忠孝、节、训子、关系先验:亲属关系,0,1,0,1,0,0,1,0,0,1,0,0
全量,01004010,双投唐,历史戏,亲属关系,家庭亲情,4,政治权力|战争武略|善恶转化,T02040709,政治权力|家庭亲情|战争武略|善恶转化,政治权力 + 家庭亲情 + 战争武略 + 善恶转化,4,2|4|7|9,2,9,1.0,0.0,32.69,政治权力:王、关系先验:权力关系、宫、臣、圣旨|家庭亲情:父子、父、子、关系先验:亲属关系、儿|战争武略:兵、将、将军、城、类别先验:历史戏|善恶转化:投、降、归顺、悔、善,0,1,0,1,0,0,1,0,1,0,0,0
全量,01004011,飞虎山,历史戏,亲属关系,家庭亲情,4,政治权力|除暴侠义|礼教品格,T02040610,政治权力|家庭亲情|除暴侠义|礼教品格,政治权力 + 家庭亲情 + 除暴侠义 + 礼教品格,4,2|4|6|10,2,10,0.933333,0.1,27.33,政治权力:王、臣、官、关系先验:权力关系、类别先验:历史戏|家庭亲情:儿、子、亲、父、姐妹|除暴侠义:虎、打虎、关系先验:同盟关系|礼教品格:孝、节、关系先验:亲属关系、礼,0,1,0,1,0,1,0,0,0,1,0,0
全量,01004012,女起解,公案戏,审判与恩怨关系,公案冤狱,5,政治权力|家庭亲情,T020405,政治权力|家庭亲情|公案冤狱,政治权力 + 家庭亲情 + 公案冤狱,3,2|4|5,2,5,1.0,0.0,25.59,政治权力:王、官、朝廷、关系先验:权力关系、朝|家庭亲情:女、子、亲、类别先验:家庭戏、关系先验:亲属关系|公案冤狱:案、狱、审、关系先验:审判与恩怨关系、清官,0,1,0,1,1,0,0,0,0,0,0,0
全量,01004014,遗翠花,家庭戏,婚恋关系,文人世情,12,婚恋姻缘,T0312,婚恋姻缘|文人世情,婚恋姻缘 + 文人世情,2,3|12,3,12,1.0,0.0,28.61,婚恋姻缘:西厢、夫人、小姐、红娘、成亲|文人世情:书生、书、花、楼、琴棋,0,0,1,0,0,0,0,0,0,0,0,1
全量,01004015,新安驿,江湖戏,亲属关系,除暴侠义,6,婚恋姻缘|家庭亲情|恩怨报偿,T03040608,婚恋姻缘|家庭亲情|除暴侠义|恩怨报偿,婚恋姻缘 + 家庭亲情 + 除暴侠义 + 恩怨报偿,4,3|4|6|8,3,8,1.0,0.0,25.9,婚恋姻缘:小姐、洞房、关系先验:婚恋关系、婚姻、类别先验:家庭戏|家庭亲情:女、母、子、类别先验:家庭戏、关系先验:亲属关系|除暴侠义:强盗、盗、寨|礼教品格:节、礼、类别先验:家庭戏、关系先验:亲属关系、关系先验:婚恋关系,0,0,1,1,0,1,0,1,0,0,0,0
全量,01004016,小上坟,家庭戏,婚恋关系,礼教品格,10,婚恋姻缘|家庭亲情|公案冤狱,T03040510,婚恋姻缘|家庭亲情|公案冤狱|礼教品格,婚恋姻缘 + 家庭亲情 + 公案冤狱 + 礼教品格,4,3|4|5|10,3,10,1.0,0.0,23.15,婚恋姻缘:妻、钗、夫妻、类别先验:家庭戏|家庭亲情:亲、子、女、类别先验:家庭戏、家门|公案冤狱:审、清官、状、关系先验:审判与恩怨关系、公案|礼教品格:贞、节、类别先验:家庭戏、关系先验:亲属关系、骂,0,0,1,1,1,0,0,0,0,1,0,0
全量,01005001,武家坡,家庭戏,婚恋关系,婚恋姻缘,3,政治权力|礼教品格,T020310,政治权力|婚恋姻缘|礼教品格,政治权力 + 婚恋姻缘 + 礼教品格,3,2|3|10,2,10,1.0,0,26.77,政治权力:王、臣、丞相、关系先验:权力关系、官|婚恋姻缘:结发、夫妻、妻、关系先验:婚恋关系、类别先验:家庭戏|礼教品格:节、贞节、骂、类别先验:家庭戏、烈女,0,1,1,0,0,0,0,0,0,1,0,0
