剧本ID,剧目名称,剧目类别,内容量权重,网络密度,度中心化,闭环ID,层级路径,角色关系类型,主题,叙事结构线,波动型,关系演化结局,联动层级序号,联动匹配强度,是否主路径
01001005,打鼓骂曹,历史戏,30.24,0.2523,0.3314,loop-005,亲属关系>礼教品格>后峰型>后峰-迟来显义>宗族复位,亲属关系,礼教品格,后峰型,后峰-迟来显义,宗族复位,7,26.8,否
01001005,打鼓骂曹,历史戏,30.24,0.2523,0.3314,loop-000,亲属关系>家庭亲情>平稳型>平稳-循环回归>亲缘团圆,亲属关系,家庭亲情,平稳型,平稳-循环回归,亲缘团圆,8,25.0,否
01001006,捉放曹,历史戏,31.07,0.2104,0.4932,loop-024,权力关系>政治权力>前锋型>前锋-开端突发>君臣尽忠,权力关系,政治权力,前锋型,前锋-开端突发,君臣尽忠,1,48.35,是
01001006,捉放曹,历史戏,31.07,0.2104,0.4932,loop-025,权力关系>政治权力>中峰型>中峰-中段计谋>权力更替,权力关系,政治权力,中峰型,中峰-中段计谋,权力更替,2,48.35,否
01001006,捉放曹,历史戏,31.07,0.2104,0.4932,loop-031,权力关系>战争武略>中峰型>中峰-中段征战>权谋败露,权力关系,战争武略,中峰型,中峰-中段征战,权谋败露,3,44.3,否
01001006,捉放曹,历史戏,31.07,0.2104,0.4932,loop-032,权力关系>战争武略>后峰型>后峰-结尾爆发>功名显达,权力关系,战争武略,后峰型,后峰-结尾爆发,功名显达,4,44.3,否
01001006,捉放曹,历史戏,31.07,0.2104,0.4932,loop-034,权力关系>公案冤狱>多峰型>多峰-审断反复>功名显达,权力关系,公案冤狱,多峰型,多峰-审断反复,功名显达,5,35.75,否
01001006,捉放曹,历史戏,31.07,0.2104,0.4932,loop-000,亲属关系>家庭亲情>平稳型>平稳-循环回归>亲缘团圆,亲属关系,家庭亲情,平稳型,平稳-循环回归,亲缘团圆,6,50.0,否
01001006,捉放曹,历史戏,31.07,0.2104,0.4932,loop-004,亲属关系>礼教品格>中峰型>中峰-中段伦理压迫>亲情牺牲,亲属关系,礼教品格,中峰型,中峰-中段伦理压迫,亲情牺牲,7,33.35,否
01001006,捉放曹,历史戏,31.07,0.2104,0.4932,loop-046,同盟关系>政治权力>中峰型>中峰-中段计谋>君臣尽忠,同盟关系,政治权力,中峰型,中峰-中段计谋,君臣尽忠,8,30.75,否
01001007,桑园寄子,家庭戏,27.26,0.2403,0.4526,loop-002,亲属关系>家庭亲情>后峰型>后峰-终局和解>亲情牺牲,亲属关系,家庭亲情,后峰型,后峰-终局和解,亲情牺牲,1,77.0,是
01001007,桑园寄子,家庭戏,27.26,0.2403,0.4526,loop-000,亲属关系>家庭亲情>平稳型>平稳-循环回归>亲缘团圆,亲属关系,家庭亲情,平稳型,平稳-循环回归,亲缘团圆,2,77.0,否
01001007,桑园寄子,家庭戏,27.26,0.2403,0.4526,loop-010,亲属关系>恩怨报偿>后峰型>后峰-压轴报偿>名节昭彰,亲属关系,恩怨报偿,后峰型,后峰-压轴报偿,名节昭彰,3,50.9,否
01001007,桑园寄子,家庭戏,27.26,0.2403,0.4526,loop-011,亲属关系>恩怨报偿>后峰型>后峰-末端清算>亲缘团圆,亲属关系,恩怨报偿,后峰型,后峰-末端清算,亲缘团圆,4,50.9,否
01001007,桑园寄子,家庭戏,27.26,0.2403,0.4526,loop-003,亲属关系>礼教品格>平稳型>平稳-低振守常>代际和解,亲属关系,礼教品格,平稳型,平稳-低振守常,代际和解,5,50.45,否
01001007,桑园寄子,家庭戏,27.26,0.2403,0.4526,loop-041,同盟关系>战争武略>后峰型>后峰-结尾爆发>阵营转投,同盟关系,战争武略,后峰型,后峰-结尾爆发,阵营转投,6,39.0,否
01001007,桑园寄子,家庭戏,27.26,0.2403,0.4526,loop-046,同盟关系>政治权力>中峰型>中峰-中段计谋>君臣尽忠,同盟关系,政治权力,中峰型,中峰-中段计谋,君臣尽忠,7,30.0,否
01001008,取成都,历史戏,30.3,0.2271,0.5806,loop-031,权力关系>战争武略>中峰型>中峰-中段征战>权谋败露,权力关系,战争武略,中峰型,中峰-中段征战,权谋败露,1,63.85,是
01001008,取成都,历史戏,30.3,0.2271,0.5806,loop-032,权力关系>战争武略>后峰型>后峰-结尾爆发>功名显达,权力关系,战争武略,后峰型,后峰-结尾爆发,功名显达,2,63.85,否
01001008,取成都,历史戏,30.3,0.2271,0.5806,loop-026,权力关系>政治权力>后峰型>后峰-末端清算>主从归顺,权力关系,政治权力,后峰型,后峰-末端清算,主从归顺,3,50.8,否
01001008,取成都,历史戏,30.3,0.2271,0.5806,loop-024,权力关系>政治权力>前锋型>前锋-开端突发>君臣尽忠,权力关系,政治权力,前锋型,前锋-开端突发,君臣尽忠,4,50.8,否
01001008,取成都,历史戏,30.3,0.2271,0.5806,loop-002,亲属关系>家庭亲情>后峰型>后峰-终局和解>亲情牺牲,亲属关系,家庭亲情,后峰型,后峰-终局和解,亲情牺牲,5,50.0,否
01001008,取成都,历史戏,30.3,0.2271,0.5806,loop-003,亲属关系>礼教品格>平稳型>平稳-低振守常>代际和解,亲属关系,礼教品格,平稳型,平稳-低振守常,代际和解,6,33.8,否
01001008,取成都,历史戏,30.3,0.2271,0.5806,loop-048,冲突关系>战争武略>多峰型>多峰-连战递进>敌对消灭,冲突关系,战争武略,多峰型,多峰-连战递进,敌对消灭,7,50.1,否
01001008,取成都,历史戏,30.3,0.2271,0.5806,loop-059,冲突关系>善恶转化>平稳型>平稳-余波消解>敌对消灭,冲突关系,善恶转化,平稳型,平稳-余波消解,敌对消灭,8,25.8,否
01001009,硃砂痣,家庭戏,29.26,0.1966,0.2895,loop-001,亲属关系>家庭亲情>前锋型>前锋-先决裂后修补>代际和解,亲属关系,家庭亲情,前锋型,前锋-先决裂后修补,代际和解,1,57.0,是
01001009,硃砂痣,家庭戏,29.26,0.1966,0.2895,loop-002,亲属关系>家庭亲情>后峰型>后峰-终局和解>亲情牺牲,亲属关系,家庭亲情,后峰型,后峰-终局和解,亲情牺牲,2,57.0,否
01001009,硃砂痣,家庭戏,29.26,0.1966,0.2895,loop-009,亲属关系>恩怨报偿>多峰型>多峰-恩怨反复>宗族复位,亲属关系,恩怨报偿,多峰型,多峰-恩怨反复,宗族复位,3,47.55,否
01001009,硃砂痣,家庭戏,29.26,0.1966,0.2895,loop-010,亲属关系>恩怨报偿>后峰型>后峰-压轴报偿>名节昭彰,亲属关系,恩怨报偿,后峰型,后峰-压轴报偿,名节昭彰,4,47.55,否
01001009,硃砂痣,家庭戏,29.26,0.1966,0.2895,loop-003,亲属关系>礼教品格>平稳型>平稳-低振守常>代际和解,亲属关系,礼教品格,平稳型,平稳-低振守常,代际和解,5,45.75,否
01001009,硃砂痣,家庭戏,29.26,0.1966,0.2895,loop-015,婚恋关系>家庭亲情>平稳型>平稳-循环回归>婚恋错失,婚恋关系,家庭亲情,平稳型,平稳-循环回归,婚恋错失,6,52.6,否
01001009,硃砂痣,家庭戏,29.26,0.1966,0.2895,loop-019,婚恋关系>礼教品格>中峰型>中峰-中段伦理压迫>贞节守义,婚恋关系,礼教品格,中峰型,中峰-中段伦理压迫,贞节守义,7,41.35,否
01001009,硃砂痣,家庭戏,29.26,0.1966,0.2895,loop-022,婚恋关系>文人世情>前锋型>前锋-先误判后澄清>礼法压服,婚恋关系,文人世情,前锋型,前锋-先误判后澄清,礼法压服,8,40.45,否
01001010,黄金台,历史戏,27.05,0.2375,0.5569,loop-024,权力关系>政治权力>前锋型>前锋-开端突发>君臣尽忠,权力关系,政治权力,前锋型,前锋-开端突发,君臣尽忠,1,48.6,是
01001010,黄金台,历史戏,27.05,0.2375,0.5569,loop-025,权力关系>政治权力>中峰型>中峰-中段计谋>权力更替,权力关系,政治权力,中峰型,中峰-中段计谋,权力更替,2,48.6,否
01001010,黄金台,历史戏,27.05,0.2375,0.5569,loop-030,权力关系>战争武略>多峰型>多峰-连战递进>主从归顺,权力关系,战争武略,多峰型,多峰-连战递进,主从归顺,3,45.0,否
01001010,黄金台,历史戏,27.05,0.2375,0.5569,loop-031,权力关系>战争武略>中峰型>中峰-中段征战>权谋败露,权力关系,战争武略,中峰型,中峰-中段征战,权谋败露,4,45.0,否
01001010,黄金台,历史戏,27.05,0.2375,0.5569,loop-033,权力关系>公案冤狱>中峰型>中峰-中段审判>权谋败露,权力关系,公案冤狱,中峰型,中峰-中段审判,权谋败露,5,35.1,否
01001010,黄金台,历史戏,27.05,0.2375,0.5569,loop-002,亲属关系>家庭亲情>后峰型>后峰-终局和解>亲情牺牲,亲属关系,家庭亲情,后峰型,后峰-终局和解,亲情牺牲,6,37.0,否
01001010,黄金台,历史戏,27.05,0.2375,0.5569,loop-011,亲属关系>恩怨报偿>后峰型>后峰-末端清算>亲缘团圆,亲属关系,恩怨报偿,后峰型,后峰-末端清算,亲缘团圆,7,27.1,否
01001011,文昭关,历史戏,26.95,0.3737,0.4413,loop-000,亲属关系>家庭亲情>平稳型>平稳-循环回归>亲缘团圆,亲属关系,家庭亲情,平稳型,平稳-循环回归,亲缘团圆,1,55.0,是
01001011,文昭关,历史戏,26.95,0.3737,0.4413,loop-001,亲属关系>家庭亲情>前锋型>前锋-先决裂后修补>代际和解,亲属关系,家庭亲情,前锋型,前锋-先决裂后修补,代际和解,2,55.0,否
01001011,文昭关,历史戏,26.95,0.3737,0.4413,loop-009,亲属关系>恩怨报偿>多峰型>多峰-恩怨反复>宗族复位,亲属关系,恩怨报偿,多峰型,多峰-恩怨反复,宗族复位,3,47.35,否
01001011,文昭关,历史戏,26.95,0.3737,0.4413,loop-010,亲属关系>恩怨报偿>后峰型>后峰-压轴报偿>名节昭彰,亲属关系,恩怨报偿,后峰型,后峰-压轴报偿,名节昭彰,4,47.35,否
01001011,文昭关,历史戏,26.95,0.3737,0.4413,loop-005,亲属关系>礼教品格>后峰型>后峰-迟来显义>宗族复位,亲属关系,礼教品格,后峰型,后峰-迟来显义,宗族复位,5,36.55,否
01001011,文昭关,历史戏,26.95,0.3737,0.4413,loop-032,权力关系>战争武略>后峰型>后峰-结尾爆发>功名显达,权力关系,战争武略,后峰型,后峰-结尾爆发,功名显达,6,48.35,否
01001011,文昭关,历史戏,26.95,0.3737,0.4413,loop-025,权力关系>政治权力>中峰型>中峰-中段计谋>权力更替,权力关系,政治权力,中峰型,中峰-中段计谋,权力更替,7,35.3,否
01001011,文昭关,历史戏,26.95,0.3737,0.4413,loop-041,同盟关系>战争武略>后峰型>后峰-结尾爆发>阵营转投,同盟关系,战争武略,后峰型,后峰-结尾爆发,阵营转投,8,41.75,否
01001012,黄鹤楼,历史戏,29.86,0.2009,0.2879,loop-030,权力关系>战争武略>多峰型>多峰-连战递进>主从归顺,权力关系,战争武略,多峰型,多峰-连战递进,主从归顺,1,60.3,是
01001012,黄鹤楼,历史戏,29.86,0.2009,0.2879,loop-031,权力关系>战争武略>中峰型>中峰-中段征战>权谋败露,权力关系,战争武略,中峰型,中峰-中段征战,权谋败露,2,60.3,否
01001012,黄鹤楼,历史戏,29.86,0.2009,0.2879,loop-024,权力关系>政治权力>前锋型>前锋-开端突发>君臣尽忠,权力关系,政治权力,前锋型,前锋-开端突发,君臣尽忠,3,57.15,否
01001012,黄鹤楼,历史戏,29.86,0.2009,0.2879,loop-025,权力关系>政治权力>中峰型>中峰-中段计谋>权力更替,权力关系,政治权力,中峰型,中峰-中段计谋,权力更替,4,57.15,否
01001012,黄鹤楼,历史戏,29.86,0.2009,0.2879,loop-029,权力关系>忠义家国>多峰型>多峰-连战递进>权谋败露,权力关系,忠义家国,多峰型,多峰-连战递进,权谋败露,5,36.0,否
01001013,天水关,历史戏,30.98,0.1989,0.3126,loop-030,权力关系>战争武略>多峰型>多峰-连战递进>主从归顺,权力关系,战争武略,多峰型,多峰-连战递进,主从归顺,1,83.65,是
01001013,天水关,历史戏,30.98,0.1989,0.3126,loop-031,权力关系>战争武略>中峰型>中峰-中段征战>权谋败露,权力关系,战争武略,中峰型,中峰-中段征战,权谋败露,2,83.65,否
01001013,天水关,历史戏,30.98,0.1989,0.3126,loop-026,权力关系>政治权力>后峰型>后峰-末端清算>主从归顺,权力关系,政治权力,后峰型,后峰-末端清算,主从归顺,3,67.0,否
01001013,天水关,历史戏,30.98,0.1989,0.3126,loop-024,权力关系>政治权力>前锋型>前锋-开端突发>君臣尽忠,权力关系,政治权力,前锋型,前锋-开端突发,君臣尽忠,4,67.0,否
01001013,天水关,历史戏,30.98,0.1989,0.3126,loop-049,冲突关系>战争武略>中峰型>中峰-中段征战>敌对和解,冲突关系,战争武略,中峰型,中峰-中段征战,敌对和解,5,64.95,否
01001013,天水关,历史戏,30.98,0.1989,0.3126,loop-055,冲突关系>恩怨报偿>后峰型>后峰-压轴报偿>阵营转投,冲突关系,恩怨报偿,后峰型,后峰-压轴报偿,阵营转投,6,33.45,否
01001013,天水关,历史戏,30.98,0.1989,0.3126,loop-052,冲突关系>除暴侠义>中峰型>中峰-中段征战>复仇完成,冲突关系,除暴侠义,中峰型,中峰-中段征战,复仇完成,7,32.55,否
01001014,七星灯,历史戏,29.07,0.2284,0.5856,loop-032,权力关系>战争武略>后峰型>后峰-结尾爆发>功名显达,权力关系,战争武略,后峰型,后峰-结尾爆发,功名显达,1,68.4,是
01001014,七星灯,历史戏,29.07,0.2284,0.5856,loop-030,权力关系>战争武略>多峰型>多峰-连战递进>主从归顺,权力关系,战争武略,多峰型,多峰-连战递进,主从归顺,2,68.4,否
01001014,七星灯,历史戏,29.07,0.2284,0.5856,loop-024,权力关系>政治权力>前锋型>前锋-开端突发>君臣尽忠,权力关系,政治权力,前锋型,前锋-开端突发,君臣尽忠,3,55.35,否
01001014,七星灯,历史戏,29.07,0.2284,0.5856,loop-025,权力关系>政治权力>中峰型>中峰-中段计谋>权力更替,权力关系,政治权力,中峰型,中峰-中段计谋,权力更替,4,55.35,否
01001014,七星灯,历史戏,29.07,0.2284,0.5856,loop-034,权力关系>公案冤狱>多峰型>多峰-审断反复>功名显达,权力关系,公案冤狱,多峰型,多峰-审断反复,功名显达,5,37.35,否
01001014,七星灯,历史戏,29.07,0.2284,0.5856,loop-048,冲突关系>战争武略>多峰型>多峰-连战递进>敌对消灭,冲突关系,战争武略,多峰型,多峰-连战递进,敌对消灭,6,57.4,否
01001014,七星灯,历史戏,29.07,0.2284,0.5856,loop-054,冲突关系>恩怨报偿>多峰型>多峰-恩怨反复>复仇完成,冲突关系,恩怨报偿,多峰型,多峰-恩怨反复,复仇完成,7,29.95,否
01001015,战北原,历史戏,24.93,0.3439,0.519,loop-048,冲突关系>战争武略>多峰型>多峰-连战递进>敌对消灭,冲突关系,战争武略,多峰型,多峰-连战递进,敌对消灭,1,57.55,是
01001015,战北原,历史戏,24.93,0.3439,0.519,loop-049,冲突关系>战争武略>中峰型>中峰-中段征战>敌对和解,冲突关系,战争武略,中峰型,中峰-中段征战,敌对和解,2,57.55,否
01001015,战北原,历史戏,24.93,0.3439,0.519,loop-058,冲突关系>善恶转化>后峰型>后峰-后段反转>善恶翻转,冲突关系,善恶转化,后峰型,后峰-后段反转,善恶翻转,3,28.3,否
01001015,战北原,历史戏,24.93,0.3439,0.519,loop-059,冲突关系>善恶转化>平稳型>平稳-余波消解>敌对消灭,冲突关系,善恶转化,平稳型,平稳-余波消解,敌对消灭,4,28.3,否
01001015,战北原,历史戏,24.93,0.3439,0.519,loop-055,冲突关系>恩怨报偿>后峰型>后峰-压轴报偿>阵营转投,冲突关系,恩怨报偿,后峰型,后峰-压轴报偿,阵营转投,5,27.4,否
01001015,战北原,历史戏,24.93,0.3439,0.519,loop-000,亲属关系>家庭亲情>平稳型>平稳-循环回归>亲缘团圆,亲属关系,家庭亲情,平稳型,平稳-循环回归,亲缘团圆,6,21.0,否
01001015,战北原,历史戏,24.93,0.3439,0.519,loop-009,亲属关系>恩怨报偿>多峰型>多峰-恩怨反复>宗族复位,亲属关系,恩怨报偿,多峰型,多峰-恩怨反复,宗族复位,7,16.95,否
01001015,战北原,历史戏,24.93,0.3439,0.519,loop-032,权力关系>战争武略>后峰型>后峰-结尾爆发>功名显达,权力关系,战争武略,后峰型,后峰-结尾爆发,功名显达,8,47.1,否
01001016,牧羊卷,家庭戏,31.3,0.3493,0.3313,loop-000,亲属关系>家庭亲情>平稳型>平稳-循环回归>亲缘团圆,亲属关系,家庭亲情,平稳型,平稳-循环回归,亲缘团圆,1,53.0,是
01001016,牧羊卷,家庭戏,31.3,0.3493,0.3313,loop-001,亲属关系>家庭亲情>前锋型>前锋-先决裂后修补>代际和解,亲属关系,家庭亲情,前锋型,前锋-先决裂后修补,代际和解,2,53.0,否
01001016,牧羊卷,家庭戏,31.3,0.3493,0.3313,loop-011,亲属关系>恩怨报偿>后峰型>后峰-末端清算>亲缘团圆,亲属关系,恩怨报偿,后峰型,后峰-末端清算,亲缘团圆,3,35.0,否
01001016,牧羊卷,家庭戏,31.3,0.3493,0.3313,loop-009,亲属关系>恩怨报偿>多峰型>多峰-恩怨反复>宗族复位,亲属关系,恩怨报偿,多峰型,多峰-恩怨反复,宗族复位,4,35.0,否
01001016,牧羊卷,家庭戏,31.3,0.3493,0.3313,loop-003,亲属关系>礼教品格>平稳型>平稳-低振守常>代际和解,亲属关系,礼教品格,平稳型,平稳-低振守常,代际和解,5,31.85,否
01001016,牧羊卷,家庭戏,31.3,0.3493,0.3313,loop-030,权力关系>战争武略>多峰型>多峰-连战递进>主从归顺,权力关系,战争武略,多峰型,多峰-连战递进,主从归顺,6,29.05,否
01001016,牧羊卷,家庭戏,31.3,0.3493,0.3313,loop-025,权力关系>政治权力>中峰型>中峰-中段计谋>权力更替,权力关系,政治权力,中峰型,中峰-中段计谋,权力更替,7,25.9,否
01001017,清官册,公案戏,30.77,0.1927,0.6519,loop-026,权力关系>政治权力>后峰型>后峰-末端清算>主从归顺,权力关系,政治权力,后峰型,后峰-末端清算,主从归顺,1,71.25,是
01001017,清官册,公案戏,30.77,0.1927,0.6519,loop-024,权力关系>政治权力>前锋型>前锋-开端突发>君臣尽忠,权力关系,政治权力,前锋型,前锋-开端突发,君臣尽忠,2,71.25,否
01001017,清官册,公案戏,30.77,0.1927,0.6519,loop-035,权力关系>公案冤狱>后峰型>后峰-末端清算>君臣尽忠,权力关系,公案冤狱,后峰型,后峰-末端清算,君臣尽忠,3,64.5,否
01001017,清官册,公案戏,30.77,0.1927,0.6519,loop-033,权力关系>公案冤狱>中峰型>中峰-中段审判>权谋败露,权力关系,公案冤狱,中峰型,中峰-中段审判,权谋败露,4,64.5,否
01001017,清官册,公案戏,30.77,0.1927,0.6519,loop-032,权力关系>战争武略>后峰型>后峰-结尾爆发>功名显达,权力关系,战争武略,后峰型,后峰-结尾爆发,功名显达,5,57.75,否
01001017,清官册,公案戏,30.77,0.1927,0.6519,loop-000,亲属关系>家庭亲情>平稳型>平稳-循环回归>亲缘团圆,亲属关系,家庭亲情,平稳型,平稳-循环回归,亲缘团圆,6,35.0,否
01001017,清官册,公案戏,30.77,0.1927,0.6519,loop-003,亲属关系>礼教品格>平稳型>平稳-低振守常>代际和解,亲属关系,礼教品格,平稳型,平稳-低振守常,代际和解,7,29.6,否
01001018,双狮图,历史戏,23.82,0.4145,0.3212,loop-002,亲属关系>家庭亲情>后峰型>后峰-终局和解>亲情牺牲,亲属关系,家庭亲情,后峰型,后峰-终局和解,亲情牺牲,1,49.0,是
01001018,双狮图,历史戏,23.82,0.4145,0.3212,loop-000,亲属关系>家庭亲情>平稳型>平稳-循环回归>亲缘团圆,亲属关系,家庭亲情,平稳型,平稳-循环回归,亲缘团圆,2,49.0,否
01001018,双狮图,历史戏,23.82,0.4145,0.3212,loop-009,亲属关系>恩怨报偿>多峰型>多峰-恩怨反复>宗族复位,亲属关系,恩怨报偿,多峰型,多峰-恩怨反复,宗族复位,3,42.25,否
