剧本ID,剧本名称,剧目类别,角色总数,实际关系数,网络密度,度中心化,核心关系,核心主题
01020009,采花赶府,家庭戏,5,7,0.7,0.5,婚恋关系,婚恋姻缘
01020010,青楼梦,家庭戏,10,27,0.6,0.361111,亲属关系,家庭亲情
01020013,铁公鸡,历史戏,15,31,0.295238,0.565934,冲突关系,战争武略
01021001,许田射鹿,历史戏,11,36,0.654545,0.422222,权力关系,政治权力
01021002,霸王别姬,历史戏,4,4,0.666667,0.666667,冲突关系,战争武略
01021004,玉玲珑,江湖戏,9,23,0.638889,0.464286,婚恋关系,婚恋姻缘
01021005,泗州城,神怪戏,9,12,0.333333,0.375,亲属关系,宗教祥瑞
01021006,天宝图,江湖戏,33,114,0.215909,0.335685,亲属关系,家庭亲情
01021007,雪夜访普,历史戏,8,24,0.857143,0.190476,权力关系,政治权力
01022002,哭祖庙,历史戏,4,4,0.666667,0.666667,权力关系,忠义家国
01022004,明末遗恨,历史戏,6,9,0.6,0.6,权力关系,恩怨报偿
01022005,青风寨,江湖戏,6,12,0.8,0.3,亲属关系,除暴侠义
01022006,太平桥,历史戏,8,18,0.642857,0.47619,权力关系,战争武略
01022010,飞叉阵,历史戏,8,13,0.464286,0.52381,亲属关系,家庭亲情
01022012,天宝图,江湖戏,44,164,0.173362,0.403101,权力关系,除暴侠义
01023001,宏碧缘,江湖戏,14,69,0.758242,0.192308,亲属关系,家庭亲情
01023005,洗浮山,公案戏,5,9,0.9,0.166667,冲突关系,宗教祥瑞
01023007,百凉楼,历史戏,6,14,0.933333,0.1,冲突关系,战争武略
01024001,宏碧缘,江湖戏,0,0,0,0,审判与恩怨关系,除暴侠义
01024002,宏碧缘,江湖戏,27,82,0.233618,0.578462,亲属关系,家庭亲情
01024005,思凡,家庭戏,1,0,0,0,亲属关系,宗教祥瑞
01024006,雪杯圆,家庭戏,5,8,0.8,0.333333,亲属关系,家庭亲情
01024008,佛门点元,家庭戏,16,30,0.25,0.47619,亲属关系,恩怨报偿
01024009,木门道,历史戏,9,32,0.888889,0.142857,冲突关系,战争武略
01025001,宏碧缘,江湖戏,16,38,0.316667,0.47619,审判与恩怨关系,公案冤狱
01025002,宏碧缘,江湖戏,12,30,0.454545,0.118182,权力关系,除暴侠义
01025010,东宫扫雪,家庭戏,4,4,0.666667,0.666667,亲属关系,家庭亲情
01026004,黑驴告状,公案戏,12,34,0.515152,0.581818,审判与恩怨关系,公案冤狱
01026005,胭脂判,公案戏,9,28,0.777778,0.285714,亲属关系,家庭亲情
01026008,三结义,历史戏,17,49,0.360294,0.654167,同盟关系,家庭亲情
01027002,三门街,江湖戏,15,33,0.314286,0.461538,亲属关系,家庭亲情
01027003,三门街,江湖戏,20,66,0.347368,0.374269,亲属关系,除暴侠义
01027004,三门街,江湖戏,17,22,0.161765,0.3125,审判与恩怨关系,恩怨报偿
01027005,三门街,江湖戏,22,72,0.311688,0.233333,权力关系,政治权力
01027006,怒斩于神仙,神怪戏,14,38,0.417582,0.410256,审判与恩怨关系,宗教祥瑞
01027009,山海关,历史戏,15,38,0.361905,0.489011,冲突关系,战争武略
01027011,战潼台,历史戏,5,8,0.8,0.333333,亲属关系,家庭亲情
01027013,长生乐,家庭戏,16,66,0.55,0.438095,亲属关系,家庭亲情
01028001,童女斩蛇,公案戏,7,16,0.761905,0.333333,亲属关系,家庭亲情
01028002,九阳钟,江湖戏,32,141,0.284274,0.354839,婚恋关系,除暴侠义
01028005,磨房产子,家庭戏,0,0,0,0,婚恋关系,婚恋姻缘
01028006,蜈蚣岭,江湖戏,0,0,0,0,婚恋关系,除暴侠义
01028007,困曹府,历史戏,0,0,0,0,亲属关系,家庭亲情
01029002,关王庙,家庭戏,5,9,0.9,0.166667,权力关系,战争武略
01029004,九阳钟,江湖戏,35,153,0.257143,0.319964,婚恋关系,战争武略
01029005,普球山,江湖戏,13,60,0.769231,0.272727,亲属关系,除暴侠义
01029006,山海关,历史戏,19,56,0.327485,0.316993,权力关系,战争武略
01029007,吴汉杀妻,家庭戏,4,5,0.833333,0.333333,权力关系,政治权力
01030004,三雅园,公案戏,9,20,0.555556,0.571429,审判与恩怨关系,除暴侠义
01030006,山海关,历史戏,10,21,0.466667,0.527778,权力关系,政治权力
01030008,串珠记,公案戏,8,15,0.535714,0.238095,亲属关系,家庭亲情
01030009,贾政训子,家庭戏,9,25,0.694444,0.392857,亲属关系,礼教品格
01031002,牢狱鸳鸯,公案戏,15,52,0.495238,0.417582,婚恋关系,婚恋姻缘
01031006,莲花塘,神怪戏,9,10,0.277778,0.446429,亲属关系,家庭亲情
01031009,雍凉关,历史戏,7,11,0.52381,0.666667,权力关系,政治权力
01031010,选元戎,历史戏,9,26,0.722222,0.357143,权力关系,战争武略
01032002,连环套,江湖戏,12,22,0.333333,0.363636,冲突关系,除暴侠义
01032003,连环套,江湖戏,0,0,0,0,亲属关系,除暴侠义
01032005,新四十八扯,家庭戏,0,0,0,0,权力关系,政治权力
01032006,芙蓉诔,家庭戏,7,15,0.714286,0.4,亲属关系,家庭亲情
01032007,党人碑,公案戏,6,11,0.733333,0.4,权力关系,文人世情
01032008,白傅遣姬,家庭戏,0,0,0,0,权力关系,恩怨报偿
01032009,安五路,历史戏,7,13,0.619048,0.3,权力关系,政治权力
01033001,狸猫换太子,公案戏,23,85,0.335968,0.179654,审判与恩怨关系,公案冤狱
01033002,水漫金山寺,神怪戏,5,7,0.7,0.5,婚恋关系,宗教祥瑞
01034004,池水驿,家庭戏,0,0,0,0,婚恋关系,婚恋姻缘
01034007,艾孝子,家庭戏,8,18,0.642857,0.47619,亲属关系,家庭亲情
01034008,醋中醋,家庭戏,6,8,0.533333,0.4,亲属关系,家庭亲情
01035001,狸猫换太子,公案戏,11,27,0.490909,0.5,审判与恩怨关系,公案冤狱
01035003,宝玉出家,家庭戏,5,7,0.7,0.5,亲属关系,家庭亲情
01035004,新三娘教子,家庭戏,0,0,0,0,亲属关系,礼教品格
01035006,道州城,历史戏,9,24,0.666667,0.267857,审判与恩怨关系,战争武略
01035007,凤凰山,历史戏,4,5,0.833333,0.333333,同盟关系,战争武略
01036002,双龙会,历史戏,12,40,0.606061,0.363636,权力关系,战争武略
01036003,大香山,神怪戏,22,90,0.38961,0.566667,权力关系,宗教祥瑞
01036004,翠花宫,家庭戏,0,0,0,0,婚恋关系,婚恋姻缘
01036005,天女散花,神怪戏,0,0,0,0,亲属关系,家庭亲情
01037002,嫦娥奔月,神怪戏,1,0,0,0,亲属关系,宗教祥瑞
01037006,碧游宫,神怪戏,1,0,0,0,冲突关系,宗教祥瑞
01037008,打桃园,江湖戏,8,14,0.5,0.285714,婚恋关系,婚恋姻缘
01038001,珠帘寨,历史戏,8,21,0.75,0.333333,权力关系,战争武略
01038002,取南郡,历史戏,15,61,0.580952,0.401099,冲突关系,战争武略
01038003,芭蕉扇,神怪戏,5,7,0.7,0.5,权力关系,战争武略
01038007,五雷报,家庭戏,7,15,0.714286,0.4,亲属关系,宗教祥瑞
01038009,湘江会,历史戏,5,8,0.8,0.333333,审判与恩怨关系,恩怨报偿
01038010,宁武关,历史戏,4,5,0.833333,0.333333,冲突关系,战争武略
01039001,贩马记,公案戏,13,24,0.307692,0.424242,亲属关系,家庭亲情
01039002,玉门关,历史戏,9,11,0.305556,0.410714,冲突关系,战争武略
01039003,取南郡,历史戏,13,54,0.692308,0.363636,冲突关系,战争武略
01039005,戏姻缘,家庭戏,0,0,0,0,婚恋关系,婚恋姻缘
01039006,失金钗,家庭戏,6,8,0.533333,0.4,婚恋关系,婚恋姻缘
01040001,阎瑞生,公案戏,18,71,0.464052,0.536765,亲属关系,家庭亲情
01040003,馒头庵,家庭戏,5,9,0.9,0.166667,婚恋关系,战争武略
01040005,万花船,家庭戏,7,18,0.857143,0.2,婚恋关系,婚恋姻缘
01040007,郑恩做亲,历史戏,13,49,0.628205,0.340909,权力关系,政治权力
02001004,遐龄永祝,神怪戏,1,0,0,0,权力关系,宗教祥瑞
02001008,财源辐辏,神怪戏,1,0,0,0,权力关系,宗教祥瑞
02001019,攻潼关,神怪戏,2,0,0.0,0,冲突关系,战争武略
02001021,孝感天,家庭戏,4,4,0.666667,0.666667,亲属关系,战争武略
02001022,孝感天,家庭戏,5,6,0.6,0.666667,婚恋关系,婚恋姻缘
02001026,米注山,历史戏,4,5,0.833333,0.333333,权力关系,政治权力
02001027,米注山,历史戏,7,19,0.904762,0.133333,亲属关系,家庭亲情
02001028,米注山,历史戏,4,5,0.833333,0.333333,权力关系,除暴侠义
02001032,龙门山,历史戏,4,5,0.833333,0.333333,冲突关系,战争武略
02001033,搜孤救孤,历史戏,8,16,0.571429,0.380952,冲突关系,家庭亲情
02001034,搜孤救孤,历史戏,7,11,0.52381,0.433333,冲突关系,战争武略
02001044,西施,历史戏,8,21,0.75,0.333333,审判与恩怨关系,恩怨报偿
02001047,五雷阵,神怪戏,5,7,0.7,0.5,冲突关系,战争武略
02001049,五雷阵,神怪戏,4,4,0.666667,0.666667,冲突关系,宗教祥瑞
02001050,五雷阵,神怪戏,5,9,0.9,0.166667,冲突关系,宗教祥瑞
02002016,卓文君,家庭戏,5,7,0.7,0.5,权力关系,文人世情
02002032,汉忠烈,公案戏,3,1,0.333333,0.5,权力关系,忠义家国
02002033,汉忠烈,公案戏,1,0,0,0,审判与恩怨关系,忠义家国
02002034,汉忠烈,公案戏,1,0,0,0,权力关系,忠义家国
02003003,捉放曹,历史戏,4,5,0.833333,0.333333,权力关系,政治权力
02003021,骂曹饯行,历史戏,4,4,0.666667,0.666667,权力关系,礼教品格
02003033,汉阳院,历史戏,18,83,0.542484,0.382353,权力关系,战争武略
02004001,龙凤呈祥,历史戏,9,25,0.694444,0.392857,婚恋关系,战争武略
02004002,龙凤呈祥,历史戏,6,12,0.8,0.3,婚恋关系,婚恋姻缘
02004008,反西凉,历史戏,5,6,0.6,0.25,审判与恩怨关系,恩怨报偿
02004020,瓦口关,历史戏,6,10,0.666667,0.5,冲突关系,战争武略
02004028,造白袍,历史戏,5,5,0.5,0.416667,审判与恩怨关系,战争武略
02004029,造白袍,历史戏,7,10,0.47619,0.5,审判与恩怨关系,战争武略
02004052,定中原,历史戏,6,13,0.866667,0.2,权力关系,政治权力
02005006,九莲灯,公案戏,0,0,0,0,审判与恩怨关系,宗教祥瑞
02005007,九莲灯,公案戏,0,0,0,0,审判与恩怨关系,宗教祥瑞
02005008,九莲灯,家庭戏,0,0,0,0,婚恋关系,宗教祥瑞
02005009,九莲灯,家庭戏,0,0,0,0,婚恋关系,宗教祥瑞
02005010,九莲灯,神怪戏,0,0,0,0,婚恋关系,宗教祥瑞
02005011,九莲灯,神怪戏,0,0,0,0,婚恋关系,宗教祥瑞
02005012,九莲灯,历史戏,0,0,0,0,婚恋关系,宗教祥瑞
02005013,九莲灯,家庭戏,0,0,0,0,婚恋关系,宗教祥瑞
02005014,九莲灯,家庭戏,0,0,0,0,婚恋关系,宗教祥瑞
02005015,九莲灯,家庭戏,0,0,0,0,婚恋关系,宗教祥瑞
02005026,观阵,历史戏,5,8,0.8,0.333333,冲突关系,战争武略
02005028,报信,公案戏,5,8,0.8,0.333333,权力关系,战争武略
02005031,四平山,神怪戏,9,10,0.277778,0.285714,权力关系,战争武略
02005032,晋阳宫,历史戏,8,26,0.928571,0.095238,权力关系,政治权力
02005034,千金闸,神怪戏,5,8,0.8,0.333333,冲突关系,战争武略
02006004,锁五龙,历史戏,14,37,0.406593,0.692308,同盟关系,战争武略
02006008,秦王吊孝,神怪戏,8,23,0.821429,0.238095,权力关系,礼教品格
02006009,御果园,历史戏,8,26,0.928571,0.095238,权力关系,战争武略
02006021,药王卷,神怪戏,5,6,0.6,0.25,权力关系,政治权力
02006025,安天会,神怪戏,4,4,0.666667,0.666667,冲突关系,宗教祥瑞
02006027,黑风山,神怪戏,2,0,0.0,0,权力关系,善恶转化
02006031,五庄观,神怪戏,1,0,0,0,亲属关系,善恶转化
02006032,五庄观,神怪戏,1,0,0,0,亲属关系,善恶转化
02006034,邪魔侵正,神怪戏,5,8,0.8,0.333333,亲属关系,家庭亲情
02006037,法场明冤,神怪戏,1,0,0,0,审判与恩怨关系,公案冤狱
02006038,莲花洞,神怪戏,1,0,0,0,冲突关系,宗教祥瑞
02006052,黄草山,江湖戏,1,0,0,0,亲属关系,除暴侠义
02006060,战国进表,历史戏,5,6,0.6,0.666667,冲突关系,战争武略
02006064,贵寿图,神怪戏,6,8,0.533333,0.7,权力关系,战争武略
02006073,太平桥,历史戏,6,7,0.466667,0.5,权力关系,战争武略
02006074,太平桥,历史戏,8,18,0.642857,0.47619,权力关系,战争武略
02007030,目莲记,神怪戏,1,0,0,0,亲属关系,宗教祥瑞
02008004,战潼台,历史戏,0,0,0,0,冲突关系,战争武略
02008007,双尽忠,历史戏,0,0,0,0,冲突关系,忠义家国
02008008,双尽忠,公案戏,0,0,0,0,冲突关系,忠义家国
02008009,双尽忠,历史戏,0,0,0,0,权力关系,忠义家国
02008010,双尽忠,神怪戏,0,0,0,0,冲突关系,忠义家国
02008011,双尽忠,家庭戏,0,0,0,0,亲属关系,忠义家国
02008012,双尽忠,神怪戏,0,0,0,0,冲突关系,忠义家国
02008016,因果报,神怪戏,4,4,0.666667,0.666667,权力关系,宗教祥瑞
02008018,鹞子观星,神怪戏,1,0,0,0,亲属关系,战争武略
02008023,泗水关,历史戏,4,5,0.833333,0.333333,冲突关系,家庭亲情
02008043,瓦桥关,历史戏,6,9,0.6,0.3,亲属关系,战争武略
02008048,三岔口,江湖戏,5,9,0.9,0.166667,婚恋关系,婚恋姻缘
02008052,九龙峪,历史戏,5,8,0.8,0.333333,婚恋关系,婚恋姻缘
02008054,双挂印,历史戏,7,16,0.761905,0.333333,冲突关系,战争武略
02008056,八盘山,历史戏,6,10,0.666667,0.5,亲属关系,家庭亲情
02008060,双沙河,家庭戏,5,9,0.9,0.166667,亲属关系,家庭亲情
02008061,双沙河,家庭戏,6,9,0.6,0.6,冲突关系,战争武略
02009026,林冲夜奔,江湖戏,1,0,0,0,同盟关系,除暴侠义
02009029,灵官殿,江湖戏,4,4,0.666667,0.666667,权力关系,宗教祥瑞
02009041,百花庄,江湖戏,6,9,0.6,0.6,亲属关系,除暴侠义
02010003,扈家庄,历史戏,4,3,0.5,0.333333,冲突关系,除暴侠义
02010024,洞庭湖,历史戏,7,16,0.761905,0.333333,亲属关系,忠义家国
02010032,狮吼记,家庭戏,8,18,0.642857,0.47619,婚恋关系,婚恋姻缘
02010034,大悲楼,神怪戏,6,11,0.733333,0.4,冲突关系,战争武略
02011012,采石矶,历史戏,7,17,0.809524,0.266667,冲突关系,战争武略
02011021,飞坡岛,神怪戏,1,0,0,0,审判与恩怨关系,宗教祥瑞
02011041,宁武关,家庭戏,7,13,0.619048,0.533333,亲属关系,战争武略
02012001,忠义图,江湖戏,13,52,0.666667,0.295455,审判与恩怨关系,忠义家国
02012002,忠义图,江湖戏,21,86,0.409524,0.321053,冲突关系,除暴侠义
02012003,常云观,江湖戏,13,45,0.576923,0.401515,审判与恩怨关系,除暴侠义
02012004,贺兰山,江湖戏,27,153,0.435897,0.443077,同盟关系,除暴侠义
02012007,九龙杯,江湖戏,1,0,0,0,权力关系,政治权力
02012008,九龙杯,江湖戏,1,0,0,0,权力关系,政治权力
02012009,九龙杯,江湖戏,1,0,0,0,权力关系,政治权力
02012011,九龙杯,公案戏,2,0,0.0,0,权力关系,政治权力
02012013,丁彪投宿,江湖戏,1,0,0,0,冲突关系,善恶转化
02012020,莲花湖,江湖戏,14,63,0.692308,0.358974,亲属关系,除暴侠义
02012035,东昌府,公案戏,7,20,0.952381,0.066667,亲属关系,家庭亲情
02012036,东昌府,公案戏,5,8,0.8,0.333333,审判与恩怨关系,恩怨报偿
02012041,弓砚缘,江湖戏,2,0,0.0,0,权力关系,政治权力
02012045,弓砚缘,家庭戏,6,14,0.933333,0.1,婚恋关系,婚恋姻缘
02012046,弓砚缘,历史戏,6,11,0.733333,0.4,权力关系,恩怨报偿
