剧本编号,剧本名字,叙事模式ID,叙事模式名称,英文名称,场次数,五阶段强度曲线,五阶段主冲突,峰值阶段,峰值强度(%),强度振幅,场次波动次数,局部峰值数,判定依据,置信度,关键证据场次
01002004,探寒窑,M08,独场凝缩型,The Condensed One-scene,1,55-55-55-55-55,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,开端,55.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:独场(骨肉伦理,55%)；发展:独场(骨肉伦理,55%)；转折:独场(骨肉伦理,55%)；高潮:独场(骨肉伦理,55%)；结局:独场(骨肉伦理,55%)"
01002005,落花园,M08,独场凝缩型,The Condensed One-scene,1,50-50-50-50-50,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,开端,50.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:独场(骨肉伦理,50%)；发展:独场(骨肉伦理,50%)；转折:独场(骨肉伦理,50%)；高潮:独场(骨肉伦理,50%)；结局:独场(骨肉伦理,50%)"
01002006,探阴山,M08,独场凝缩型,The Condensed One-scene,1,57-57-57-57-57,开端:神怪显灵；发展:神怪显灵；转折:神怪显灵；高潮:神怪显灵；结局:神怪显灵,开端,57.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:独场(神怪显灵,57%)；发展:独场(神怪显灵,57%)；转折:独场(神怪显灵,57%)；高潮:独场(神怪显灵,57%)；结局:独场(神怪显灵,57%)"
01002007,打金枝,M08,独场凝缩型,The Condensed One-scene,1,55-55-55-55-55,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,开端,55.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:独场(骨肉伦理,55%)；发展:独场(骨肉伦理,55%)；转折:独场(骨肉伦理,55%)；高潮:独场(骨肉伦理,55%)；结局:独场(骨肉伦理,55%)"
01002008,八义图,M07,平缓铺陈型,The Low-tension Episodic,4,58-52-66-66-60,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,转折,66.0,14.0,2,1,五阶段振幅14.0点，阶段强度差异较小。,0.78,"开端:第一场(骨肉伦理,58%)；发展:第二场(骨肉伦理,52%)；转折:第三场(骨肉伦理,66%)；高潮:第三场(骨肉伦理,66%)；结局:第四场(骨肉伦理,60%)"
01002009,鱼肠剑,M06,结尾爆发型,The Final Reveal,4,62-70-26-26-71,开端:敌我攻守；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,结局,71.0,45.0,2,1,峰值出现在结局(71.0)，高于前四阶段平均25.0点。,0.83,"开端:第一场(敌我攻守,62%)；发展:第二场(骨肉伦理,70%)；转折:第三场(骨肉伦理,26%)；高潮:第三场(骨肉伦理,26%)；结局:第四场(骨肉伦理,71%)"
01002010,钓金龟,M08,独场凝缩型,The Condensed One-scene,1,56-56-56-56-56,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,开端,56.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:独场(骨肉伦理,56%)；发展:独场(骨肉伦理,56%)；转折:独场(骨肉伦理,56%)；高潮:独场(骨肉伦理,56%)；结局:独场(骨肉伦理,56%)"
01002011,梅龙镇,M08,独场凝缩型,The Condensed One-scene,2,50-50-50-50-50,开端:君臣撕裂；发展:君臣撕裂；转折:君臣撕裂；高潮:君臣撕裂；结局:君臣撕裂,开端,50.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:第二场(君臣撕裂,80%)；发展:第二场(君臣撕裂,80%)；转折:第二场(君臣撕裂,80%)；高潮:第二场(君臣撕裂,80%)；结局:第二场(君臣撕裂,80%)"
01002012,白门楼,M06,结尾爆发型,The Final Reveal,9,19-53.3-47-50-62,开端:敌我攻守；发展:敌我攻守；转折:敌我攻守；高潮:肢体冲突；结局:敌我攻守,结局,62.0,43.0,2,0,峰值出现在结局(62.0)，高于前四阶段平均19.7点。,0.83,"开端:第一场(敌我攻守,19%)；发展:第二场(敌我攻守,63%)；转折:第五场(敌我攻守,47%)；高潮:第六场(肢体冲突,50%)；结局:第九场(敌我攻守,62%)"
01002013,华容道,M08,独场凝缩型,The Condensed One-scene,1,65-65-65-65-65,开端:敌我攻守；发展:敌我攻守；转折:敌我攻守；高潮:敌我攻守；结局:敌我攻守,开端,65.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:独场(敌我攻守,65%)；发展:独场(敌我攻守,65%)；转折:独场(敌我攻守,65%)；高潮:独场(敌我攻守,65%)；结局:独场(敌我攻守,65%)"
01002014,宇宙锋,M08,独场凝缩型,The Condensed One-scene,2,50-50-50-50-50,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,开端,50.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:第一场(骨肉伦理,56%)；发展:第一场(骨肉伦理,56%)；转折:第一场(骨肉伦理,56%)；高潮:第一场(骨肉伦理,56%)；结局:第一场(骨肉伦理,56%)"
01002015,取帅印,M03,多峰波折型,The Rollercoaster,3,86-18-81-18-81,开端:骨肉伦理；发展:君臣撕裂；转折:敌我攻守；高潮:君臣撕裂；结局:敌我攻守,开端,86.0,68.0,1,0,五阶段显著峰值3个、阶段方向切换3次，振幅68.0点。,0.86,"开端:第一场(骨肉伦理,86%)；发展:第二场(君臣撕裂,18%)；转折:第三场(敌我攻守,81%)；高潮:第二场(君臣撕裂,18%)；结局:第三场(敌我攻守,81%)"
01002016,打渔杀家,M03,多峰波折型,The Rollercoaster,6,24-68-50-56.5-84,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,结局,84.0,60.0,2,1,五阶段显著峰值2个、阶段方向切换2次，振幅60.0点。,0.86,"开端:第一场(骨肉伦理,24%)；发展:第二场(骨肉伦理,68%)；转折:第三场(骨肉伦理,50%)；高潮:第五场(骨肉伦理,61%)；结局:第六场(骨肉伦理,84%)"
01002017,黑风帕,M05,开端爆发型,In Medias Res,6,65-35-57-62.5-54,开端:骨肉伦理；发展:敌我攻守；转折:敌我攻守；高潮:敌我攻守；结局:骨肉伦理,开端,65.0,30.0,2,1,峰值出现在开端(65.0)，高于后续平均12.9点。,0.82,"开端:第一场(骨肉伦理,65%)；发展:第二场(敌我攻守,35%)；转折:第三场(敌我攻守,57%)；高潮:第四场(敌我攻守,68%)；结局:第六场(骨肉伦理,54%)"
01002018,目莲救母,M08,独场凝缩型,The Condensed One-scene,1,49-49-49-49-49,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,开端,49.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:独场(骨肉伦理,49%)；发展:独场(骨肉伦理,49%)；转折:独场(骨肉伦理,49%)；高潮:独场(骨肉伦理,49%)；结局:独场(骨肉伦理,49%)"
01002019,红鸾禧,M08,独场凝缩型,The Condensed One-scene,2,50-50-50-50-50,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,开端,50.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:第一场(骨肉伦理,58%)；发展:第一场(骨肉伦理,58%)；转折:第一场(骨肉伦理,58%)；高潮:第一场(骨肉伦理,58%)；结局:第一场(骨肉伦理,58%)"
01002020,白状元祭塔,M08,独场凝缩型,The Condensed One-scene,2,50-50-50-50-50,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,开端,50.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:第一场(骨肉伦理,56%)；发展:第一场(骨肉伦理,56%)；转折:第一场(骨肉伦理,56%)；高潮:第一场(骨肉伦理,56%)；结局:第一场(骨肉伦理,56%)"
01003001,琼林宴,M02,渐强推进型,The Snowball / Crescendo,5,34-57-59-74-56,开端:骨肉伦理；发展:骨肉伦理；转折:敌我攻守；高潮:敌我攻守；结局:骨肉伦理,高潮,74.0,40.0,1,1,整体斜率为正(22.0)，阶段回落1次，峰值靠后。,0.86,"开端:第一场(骨肉伦理,34%)；发展:第二场(骨肉伦理,57%)；转折:第一场(敌我攻守,59%)；高潮:第二场(敌我攻守,74%)；结局:第三场(骨肉伦理,56%)"
01003002,群英会,M03,多峰波折型,The Rollercoaster,8,82-65.5-83-45-67,开端:敌我攻守；发展:敌我攻守；转折:敌我攻守；高潮:敌我攻守；结局:敌我攻守,转折,83.0,38.0,3,0,五阶段显著峰值3个、阶段方向切换3次，振幅38.0点。,0.86,"开端:第一场(敌我攻守,82%)；发展:第三场(敌我攻守,78%)；转折:第四场(敌我攻守,83%)；高潮:第五场(谋略试探,56%)；结局:第八场(敌我攻守,67%)"
01003003,桑园会,M06,结尾爆发型,The Final Reveal,4,9-50-82-82-95,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,结局,95.0,86.0,0,0,峰值出现在结局(95.0)，高于前四阶段平均39.2点。,0.83,"开端:第一场(骨肉伦理,9%)；发展:第二场(骨肉伦理,50%)；转折:第三场(骨肉伦理,82%)；高潮:第三场(骨肉伦理,82%)；结局:第四场(骨肉伦理,95%)"
01003005,拾黄金,M08,独场凝缩型,The Condensed One-scene,1,38-38-38-38-38,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,开端,38.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:独场(骨肉伦理,38%)；发展:独场(骨肉伦理,38%)；转折:独场(骨肉伦理,38%)；高潮:独场(骨肉伦理,38%)；结局:独场(骨肉伦理,38%)"
01003006,辕门斩子,M08,独场凝缩型,The Condensed One-scene,1,58-58-58-58-58,开端:敌我攻守；发展:敌我攻守；转折:敌我攻守；高潮:敌我攻守；结局:敌我攻守,开端,58.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:独场(敌我攻守,58%)；发展:独场(敌我攻守,58%)；转折:独场(敌我攻守,58%)；高潮:独场(敌我攻守,58%)；结局:独场(敌我攻守,58%)"
01003008,断太后,M03,多峰波折型,The Rollercoaster,4,57-38-53-53-73,开端:公案审判；发展:肢体冲突；转折:敌我攻守；高潮:敌我攻守；结局:公案审判,结局,73.0,35.0,1,0,五阶段显著峰值2个、阶段方向切换1次，振幅35.0点。,0.86,"开端:第一场(公案审判,57%)；发展:第二场(肢体冲突,38%)；转折:第三场(敌我攻守,53%)；高潮:第三场(敌我攻守,53%)；结局:第四场(公案审判,73%)"
01003009,打龙袍,M04,单峰转折型,The Early Climax / Anti-climax,6,38-73-77-65-52,开端:公案审判；发展:公案审判；转折:公案审判；高潮:君臣撕裂；结局:骨肉伦理,转折,77.0,39.0,2,1,峰值提前在转折(77.0)，后续未形成更高增量。,0.84,"开端:第一场(公案审判,38%)；发展:第二场(公案审判,73%)；转折:第三场(公案审判,77%)；高潮:第四场(君臣撕裂,83%)；结局:第六场(骨肉伦理,52%)"
01003010,战蒲关,M05,开端爆发型,In Medias Res,4,75-30-64-64-49,开端:敌我攻守；发展:敌我攻守；转折:忠义抉择；高潮:忠义抉择；结局:忠义抉择,开端,75.0,45.0,2,1,峰值出现在开端(75.0)，高于后续平均23.2点。,0.82,"开端:第一场(敌我攻守,75%)；发展:第二场(敌我攻守,30%)；转折:第三场(忠义抉择,64%)；高潮:第三场(忠义抉择,64%)；结局:第四场(忠义抉择,49%)"
01003011,斩黄袍,M01,后置高潮型,The Classic Build-up,14,51-35.3-57-59.5-59.5,开端:君臣撕裂；发展:君臣撕裂；转折:君臣撕裂；高潮:敌我攻守；结局:骨肉伦理,高潮,59.5,24.17,7,1,峰值靠近高潮，按后置高潮结构归类。,0.72,"开端:第一场(君臣撕裂,51%)；发展:第三场(肢体冲突,47%)；转折:第八场(君臣撕裂,57%)；高潮:第十一场(骨肉伦理,63%)；结局:第十四场(敌我攻守,73%)"
01003012,彩楼配,M04,单峰转折型,The Early Climax / Anti-climax,4,52-68-61-61-49,开端:情爱婚恋；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,发展,68.0,19.0,1,1,峰值提前在发展(68.0)，后续未形成更高增量。,0.84,"开端:第一场(情爱婚恋,52%)；发展:第二场(骨肉伦理,68%)；转折:第三场(骨肉伦理,61%)；高潮:第三场(骨肉伦理,61%)；结局:第四场(骨肉伦理,49%)"
01003013,滑油山,M08,独场凝缩型,The Condensed One-scene,1,51-51-51-51-51,开端:神怪显灵；发展:神怪显灵；转折:神怪显灵；高潮:神怪显灵；结局:神怪显灵,开端,51.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:独场(神怪显灵,51%)；发展:独场(神怪显灵,51%)；转折:独场(神怪显灵,51%)；高潮:独场(神怪显灵,51%)；结局:独场(神怪显灵,51%)"
01003014,富春楼,M08,独场凝缩型,The Condensed One-scene,1,44-44-44-44-44,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,开端,44.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:独场(骨肉伦理,44%)；发展:独场(骨肉伦理,44%)；转折:独场(骨肉伦理,44%)；高潮:独场(骨肉伦理,44%)；结局:独场(骨肉伦理,44%)"
01003015,阴阳河,M03,多峰波折型,The Rollercoaster,3,40-53-75-53-75,开端:敌我攻守；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,转折,75.0,35.0,0,0,五阶段显著峰值2个、阶段方向切换2次，振幅35.0点。,0.86,"开端:第一场(敌我攻守,40%)；发展:第二场(骨肉伦理,53%)；转折:第三场(骨肉伦理,75%)；高潮:第二场(骨肉伦理,53%)；结局:第三场(骨肉伦理,75%)"
01003016,打花鼓,M08,独场凝缩型,The Condensed One-scene,1,53-53-53-53-53,开端:情爱婚恋；发展:情爱婚恋；转折:情爱婚恋；高潮:情爱婚恋；结局:情爱婚恋,开端,53.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:独场(情爱婚恋,53%)；发展:独场(情爱婚恋,53%)；转折:独场(情爱婚恋,53%)；高潮:独场(情爱婚恋,53%)；结局:独场(情爱婚恋,53%)"
01003017,独木关,M03,多峰波折型,The Rollercoaster,9,63-50.3-12-57.3-34,开端:敌我攻守；发展:敌我攻守；转折:敌我攻守；高潮:敌我攻守；结局:敌我攻守,开端,63.0,51.0,4,1,五阶段显著峰值2个、阶段方向切换2次，振幅51.0点。,0.86,"开端:第一场(敌我攻守,63%)；发展:第四场(敌我攻守,66%)；转折:第五场(敌我攻守,12%)；高潮:第七场(肢体冲突,65%)；结局:第九场(敌我攻守,34%)"
01003018,丑表功,M08,独场凝缩型,The Condensed One-scene,1,47-47-47-47-47,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,开端,47.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:独场(骨肉伦理,47%)；发展:独场(骨肉伦理,47%)；转折:独场(骨肉伦理,47%)；高潮:独场(骨肉伦理,47%)；结局:独场(骨肉伦理,47%)"
01004001,逍遥津,M06,结尾爆发型,The Final Reveal,10,12-60.7-35-66.8-74,开端:敌我攻守；发展:君臣撕裂；转折:骨肉伦理；高潮:君臣撕裂；结局:骨肉伦理,结局,74.0,62.0,7,4,峰值出现在结局(74.0)，高于前四阶段平均30.4点。,0.83,"开端:第一场(敌我攻守,12%)；发展:第四场(君臣撕裂,76%)；转折:第五场(骨肉伦理,35%)；高潮:第九场(君臣撕裂,88%)；结局:第十场(骨肉伦理,74%)"
01004004,盗宗卷,M03,多峰波折型,The Rollercoaster,6,64-42-56-51.5-71,开端:君臣撕裂；发展:骨肉伦理；转折:骨肉伦理；高潮:敌我攻守；结局:骨肉伦理,结局,71.0,29.0,3,1,五阶段显著峰值2个、阶段方向切换3次，振幅29.0点。,0.86,"开端:第一场(君臣撕裂,64%)；发展:第二场(骨肉伦理,42%)；转折:第三场(骨肉伦理,56%)；高潮:第五场(骨肉伦理,60%)；结局:第六场(骨肉伦理,71%)"
